,Name,Park,City,State,Country,Status,Status Date,Material,Seating,Thrill,Make,Model,Length,Height,Drop,Speed,Inversions,VerticalAngle,Duration,G-Force
0,Adrenaline Peak,Oaks Amusement Park,Portland,Oregon,United States,Operating,2018-03-24,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,1050,72,,45,3,97,,
1,Adventure Express,Kings Island,Mason,Ohio,United States,Operating,1991-04-13,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2963,63,,35,0,,2:20,
2,Afterburn,Carowinds,Charlotte,North Carolina,United States,Operating,1999-03-20,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2956,113,,62,6,,2:47,
3,Aftershock,Silverwood Theme Park,Athol,Idaho,United States,Operating,2008-07-21,Steel,Inverted,Extreme,Vekoma,Other,1204.1,191.6,177,65.6,3,90,1:32,4.5
4,Aftershock,Alaska State Fair,Palmer,Alaska,United States,Operating,2021-08-20,Steel,Sit Down,Thrill,Interpark,Super Cyclon,1181,40,25,35,0,,,
5,Air Grover,Busch Gardens Tampa,Tampa,Florida,United States,Operating,2010-03-27,Steel,Sit Down,Family,Zierer,Force,,,,,0,,,
6,All American Coaster,Brookhaven Exchange Club Park,Brookhaven,Mississippi,United States,Operating,1971,Steel,Sit Down,Kiddie,B. A. Schiff & Associates,,,,,,0,,,
7,Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,1997-03-22,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,3828,195,170,67,6,,3:10,3.7
8,Alpine Bobsled,Great Escape,Queensbury,New York,United States,Operating,1998,Steel,Bobsled,Thrill,Intamin Amusement Rides,Swiss Bob,1490,64,,35,0,,1:40,
9,Alpine Coaster,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,United States,Operating,2005,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3198.8,,,,0,,,
