,Name,City,State,Country,Status,Status Date,Link
0,"New York, New York Hotel & Casino",Las Vegas,Nevada,United States,Operating,1997-01-03,
1,Lagoon,Farmington,Utah,United States,Operating,1886-07-15,
2,Belmont Park,San Diego,California,United States,Operating,1925-07-04,
3,California's Great America,Santa Clara,California,United States,Operating,1976-05-20,
4,Disney California Adventure Park,Anaheim,California,United States,Operating,2001-02-08,
5,Disneyland,Anaheim,California,United States,Operating,1955-07-17,
6,Gilroy Gardens Family Theme Park,Gilroy,California,United States,Operating,1977,
7,Happy Hollow Park and Zoo,San Jose,California,United States,Operating,1961,
8,Knott's Berry Farm,Buena Park,California,United States,Operating,1940,
9,Legoland California,Carlsbad,California,United States,Operating,1999-03-20,
10,Oakland Zoo,Oakland,California,United States,Operating,1922,
11,Pacific Park,Santa Monica,California,United States,Operating,1996-05-25,
12,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,Operating,1907-06-22,
13,SeaWorld San Diego,San Diego,California,United States,Operating,1964-03-21,
14,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,1986,
15,Six Flags Magic Mountain,Valencia,California,United States,Operating,1971-05-29,
16,Universal Studios Hollywood,Universal City,California,United States,Operating,1964-06-15,
17,Castles n' Coasters,Phoenix,Arizona,United States,Operating,1980,
18,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,United States,Operating,1999,
19,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1959-03-31,
20,SeaWorld Orlando,Orlando,Florida,United States,Operating,1973-12-15,
21,Universal Studios Florida,Orlando,Florida,United States,Operating,1990-06-07,
22,Universal Studios Islands of Adventure,Orlando,Florida,United States,Operating,1999-05-28,
23,Walt Disney World - Disney's Animal Kingdom,Lake Buena Vista,Florida,United States,Operating,1998-04-22,
24,Walt Disney World - Disney's Hollywood Studios,Lake Buena Vista,Florida,United States,Operating,1989-05-01,
25,Silver Dollar City,Branson,Missouri,United States,Operating,1960,
26,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,United States,Operating,2019-10-25,
27,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1974-07-01,
28,Cedar Point,Sandusky,Ohio,United States,Operating,1870,
29,Kings Island,Mason,Ohio,United States,Operating,1972-04-29,
30,Hersheypark,Hershey,Pennsylvania,United States,Operating,1906-05-30,
31,SeaWorld San Antonio,San Antonio,Texas,United States,Operating,1988-05-27,
32,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,1992-03-14,
33,Six Flags Over Texas,Arlington,Texas,United States,Operating,1961-08-04,
